No,ID Stasiun,Waktu,PM 10,PM 2.5,SO2,CO,O3,NO2,VOC,Wind Speed,Wind Direction,Humidity,Temperature,Pressure,Solar Radiation,Rain Intensity
176,CILEGON_PCI,2022-09-07 10:30:00,34,43,31,0,91,24,0,0,194,55,31.3,1013.41,207,0
177,CILEGON_PCI,2022-09-07 10:00:00,37,45,31,0,98,24,0,0,201,61,30.2,1013.65,786,0
178,CILEGON_PCI,2022-09-07 09:30:00,38,45,31,0,102,23,0,0,193,64,28.9,1013.82,178,0
179,CILEGON_PCI,2022-09-07 09:00:00,36,44,38,0,104,18,0,0,214,70,27.6,1013.92,380,0
180,CILEGON_PCI,2022-09-07 08:30:00,33,39,51,0,70,5,0,0,228,72,26.7,1013.65,132,0
181,CILEGON_PCI,2022-09-07 08:00:00,27,32,45,0,84,5,0,0,228,73,26.1,1013.55,84,0
182,CILEGON_PCI,2022-09-07 07:30:00,25,30,41,0,110,1,0,0,223,73,25.7,1013.31,51,0
183,CILEGON_PCI,2022-09-07 07:00:00,22,27,32,0,115,0,0,0,228,74,25.4,1012.6,35,0
184,CILEGON_PCI,2022-09-07 06:30:00,31,38,8,0,127,0,0,0,128,74,24.9,1012.26,53,0
185,CILEGON_PCI,2022-09-07 06:00:00,17,21,6,0,87,0,0,0,116,74,24.7,1011.82,5,0
186,CILEGON_PCI,2022-09-07 05:30:00,23,27,5,0,80,0,0,0,112,74,24.6,1011.82,0,0
187,CILEGON_PCI,2022-09-07 05:00:00,23,27,6,0,70,0,0,0,112,74,24.6,1011.41,0,0
188,CILEGON_PCI,2022-09-07 04:30:00,26,30,21,0,23,0,0,0,112,74,24.7,1011.35,0,0
189,CILEGON_PCI,2022-09-07 04:00:00,26,31,31,0,33,0,0,0,112,74,24.7,1011.21,0,0
190,CILEGON_PCI,2022-09-07 03:30:00,32,37,41,0,69,0,0,0,112,74,24.8,1011.31,0,0
191,CILEGON_PCI,2022-09-07 03:00:00,24,28,42,0,94,0,0,0,111,74,24.9,1011.31,0,0
192,CILEGON_PCI,2022-09-07 02:30:00,24,29,22,0,108,0,0,0,112,73,25.3,1011.31,0,0
193,CILEGON_PCI,2022-09-07 02:00:00,21,26,20,0,49,0,0,0,111,73,25.3,1011.41,0,0
194,CILEGON_PCI,2022-09-07 01:30:00,23,27,18,0,38,0,0,0,111,73,25.4,1011.82,0,0
195,CILEGON_PCI,2022-09-07 01:00:00,25,30,20,0,102,0,0,0,111,72,25.7,1012.4,0,0
196,CILEGON_PCI,2022-09-07 00:30:00,26,31,38,0,13,0,0,0,104,72,26,1012.4,0,0
197,CILEGON_PCI,2022-09-07 00:00:00,29,35,46,0,76,0,0,0,104,72,26.5,1012.84,0,0
198,CILEGON_PCI,2022-09-06 23:30:00,28,33,49,0,95,0,0,0,180,71,26.8,1012.9,0,0
199,CILEGON_PCI,2022-09-06 23:00:00,31,37,46,0,94,0,0,0,182,70,26.8,1013.21,0,0
200,CILEGON_PCI,2022-09-06 22:30:00,28,34,23,0,107,0,0,0,182,70,26.9,1013.17,0,0
201,CILEGON_PCI,2022-09-06 22:00:00,32,39,19,0,37,0,0,0,175,69,27.1,1012.8,0,0
202,CILEGON_PCI,2022-09-06 21:30:00,28,35,18,0,102,0,0,0,181,69,27.2,1012.77,0,0
203,CILEGON_PCI,2022-09-06 21:00:00,26,31,21,0,105,0,0,0,181,69,27.1,1012.53,0,0
204,CILEGON_PCI,2022-09-06 20:30:00,30,35,43,0,49,0,0,0,181,68,27.5,1012.12,0,0
205,CILEGON_PCI,2022-09-06 20:00:00,38,46,47,0,48,0,0,0,174,67,27.7,1012.23,0,0
206,CILEGON_PCI,2022-09-06 19:30:00,33,39,47,0,44,0,0,0,174,67,28.3,1011.85,0,0
207,CILEGON_PCI,2022-09-06 19:00:00,28,35,43,0,47,10,0,0,174,65,28.7,1011.18,0,0
208,CILEGON_PCI,2022-09-06 18:30:00,21,27,25,0,69,32,0,0,142,64,28.9,1010.43,0,0
209,CILEGON_PCI,2022-09-06 18:00:00,29,36,27,0,72,32,0,0,144,63,29.4,1010.13,0,0
210,CILEGON_PCI,2022-09-06 17:30:00,20,24,28,0,81,31,0,0,91,61,29.5,1009.58,9,0
211,CILEGON_PCI,2022-09-06 17:00:00,17,21,36,0,80,23,0,0,43,60,29.7,1009.31,26,0
212,CILEGON_PCI,2022-09-06 16:30:00,17,22,57,0,49,10,0,0,58,60,29.8,1009.11,40,0
213,CILEGON_PCI,2022-09-06 16:00:00,16,19,61,0,49,10,0,0,66,60,30,1008.94,77,0
214,CILEGON_PCI,2022-09-06 15:30:00,22,26,67,0,49,10,0,0,121,60,30.3,1008.87,436,0
215,CILEGON_PCI,2022-09-06 15:00:00,20,26,67,0,51,13,0,0,58,60,30.2,1009.21,545,0
216,CILEGON_PCI,2022-09-06 14:30:00,17,21,33,0,67,25,0,0,127,60,30.1,1009.31,619,0
217,CILEGON_PCI,2022-09-06 13:00:00,23,28,32,0,68,25,0,0,78,64,28.8,1009.99,241,0
218,CILEGON_PCI,2022-09-06 11:00:00,15,17,28,0,78,27,0,0,157,72,25.7,1012.46,272,0
219,CILEGON_PCI,2022-09-06 10:30:00,20,23,36,0,68,24,0,0,133,71,25.6,1012.9,67,0
220,CILEGON_PCI,2022-09-06 09:00:00,21,24,27,0,83,29,0,0,177,73,25.5,1013.14,534,0
221,CILEGON_PCI,2022-09-06 13:00:00,23,28,32,0,68,25,0,0,78,64,28.8,1009.99,241,0
222,CILEGON_PCI,2022-09-06 08:00:00,28,33,22,0,96,19,0,0,191,75,25.4,1012.77,290,0
223,CILEGON_PCI,2022-09-06 11:00:00,15,17,28,0,78,27,0,0,157,72,25.7,1012.46,272,0
224,CILEGON_PCI,2022-09-06 07:30:00,30,35,22,0,88,11,0,0,122,75,25.1,1012.63,21,0
225,CILEGON_PCI,2022-09-06 10:30:00,20,23,36,0,68,24,0,0,133,71,25.6,1012.9,67,0
226,CILEGON_PCI,2022-09-06 06:30:00,22,26,4,0,66,0,0,0,186,75,24.2,1011.65,30,0
227,CILEGON_PCI,2022-09-06 09:00:00,21,24,27,0,83,29,0,0,177,73,25.5,1013.14,534,0
228,CILEGON_PCI,2022-09-06 06:00:00,26,30,4,0,91,0,0,0,187,75,24.2,1011.68,0,0
229,CILEGON_PCI,2022-09-06 08:00:00,28,33,22,0,96,19,0,0,191,75,25.4,1012.77,290,0
230,CILEGON_PCI,2022-09-06 05:00:00,23,38,4,0,104,0,0,0,186,75,23.8,1011.31,0,0
231,CILEGON_PCI,2022-09-06 07:30:00,30,35,22,0,88,11,0,0,122,75,25.1,1012.63,21,0
232,CILEGON_PCI,2022-09-06 04:30:00,23,51,5,0,120,0,0,0,172,75,23.9,1010.84,0,0
233,CILEGON_PCI,2022-09-06 06:30:00,22,26,4,0,66,0,0,0,186,75,24.2,1011.65,30,0
234,CILEGON_PCI,2022-09-06 04:00:00,28,33,7,0,121,0,0,0,190,74,24,1011.45,0,0
235,CILEGON_PCI,2022-09-06 06:00:00,26,30,4,0,91,0,0,0,187,75,24.2,1011.68,0,0
236,CILEGON_PCI,2022-09-06 03:30:00,32,37,8,0,133,0,0,0,112,74,24.8,1010.97,0,0
237,CILEGON_PCI,2022-09-05 15:30:00,24,28,5,0,75,29,0,0,49,41,32.4,1008.94,367,0
238,CILEGON_PCI,2022-09-06 05:00:00,23,38,4,0,104,0,0,0,186,75,23.8,1011.31,0,0
239,CILEGON_PCI,2022-09-06 03:00:00,24,29,5,0,134,0,0,0,170,74,24.6,1010.77,0,0
240,CILEGON_PCI,2022-09-05 15:00:00,24,27,6,0,83,19,0,0,39,42,32.7,1009.14,179,0
241,CILEGON_PCI,2022-09-06 04:30:00,23,51,5,0,120,0,0,0,172,75,23.9,1010.84,0,0
242,CILEGON_PCI,2022-09-06 02:30:00,23,26,7,0,136,0,0,0,70,73,24.8,1010.97,0,0
243,CILEGON_PCI,2022-09-06 04:00:00,28,33,7,0,121,0,0,0,190,74,24,1011.45,0,0
244,CILEGON_PCI,2022-09-06 02:00:00,24,28,2,0,132,0,0,0,71,72,24.8,1011.24,0,0
245,CILEGON_PCI,2022-09-06 03:30:00,32,37,8,0,133,0,0,0,112,74,24.8,1010.97,0,0
246,CILEGON_PCI,2022-09-06 01:30:00,31,36,2,0,125,0,0,0,227,68,26.1,1011.51,0,0
247,CILEGON_PCI,2022-09-06 03:00:00,24,29,5,0,134,0,0,0,170,74,24.6,1010.77,0,0
248,CILEGON_PCI,2022-09-06 01:00:00,30,33,1,0,24,0,0,0,223,65,26.2,1011.45,0,0
249,CILEGON_PCI,2022-09-06 02:30:00,23,26,7,0,136,0,0,0,70,73,24.8,1010.97,0,0
250,CILEGON_PCI,2022-09-06 00:30:00,30,36,1,0,0,0,0,0,178,64,26.4,1011.92,0,0
251,CILEGON_PCI,2022-09-06 02:00:00,24,28,2,0,132,0,0,0,71,72,24.8,1011.24,0,0
252,CILEGON_PCI,2022-09-06 00:00:00,29,33,0,0,0,0,0,0,123,64,26.3,1012.06,0,0
253,CILEGON_PCI,2022-09-06 01:30:00,31,36,2,0,125,0,0,0,227,68,26.1,1011.51,0,0
254,CILEGON_PCI,2022-09-05 23:30:00,38,44,2,0,65,0,0,0,108,63,26.7,1012.56,0,0
255,CILEGON_PCI,2022-09-06 01:00:00,30,33,1,0,24,0,0,0,223,65,26.2,1011.45,0,0
256,CILEGON_PCI,2022-09-05 23:00:00,51,56,11,0,102,0,0,0,181,62,27.7,1012.26,0,0
257,CILEGON_PCI,2022-09-06 13:00:00,23,28,32,0,68,25,0,0,78,64,28.8,1009.99,241,0
258,CILEGON_PCI,2022-09-06 00:30:00,30,36,1,0,0,0,0,0,178,64,26.4,1011.92,0,0
259,CILEGON_PCI,2022-09-05 22:30:00,57,64,17,0,112,0,0,0,181,61,27.8,1012.67,0,0
260,CILEGON_PCI,2022-09-06 13:00:00,23,28,32,0,68,25,0,0,78,64,28.8,1009.99,241,0
261,CILEGON_PCI,2022-09-06 11:00:00,15,17,28,0,78,27,0,0,157,72,25.7,1012.46,272,0
262,CILEGON_PCI,2022-09-06 00:00:00,29,33,0,0,0,0,0,0,123,64,26.3,1012.06,0,0
